Id,Name,"Generation Id","Is Main Series"
267,"As One Spectrier",8,1
268,"Lingering Aroma",9,1
269,"Seed Sower",9,1
270,"Thermal Exchange",9,1
271,"Anger Shell",9,1
272,"Purifying Salt",9,1
273,"Well Baked Body",9,1
274,"Wind Rider",9,1
275,"Guard Dog",9,1
276,"Rocky Payload",9,1
277,"Wind Power",9,1
278,"Zero To Hero",9,1
279,Commander,9,1
280,Electromorphosis,9,1
281,Protosynthesis,9,1
282,"Quark Drive",9,1
283,"Good As Gold",9,1
284,"Vessel Of Ruin",9,1
285,"Sword Of Ruin",9,1
286,"Tablets Of Ruin",9,1
287,"Beads Of Ruin",9,1
288,"Orichalcum Pulse",9,1
289,"Hadron Engine",9,1
290,Opportunist,9,1
291,"Cud Chew",9,1
292,Sharpness,9,1
293,"Supreme Overlord",9,1
294,Costar,9,1
295,"Toxic Debris",9,1
296,"Armor Tail",9,1
297,"Earth Eater",9,1
298,"Mycelium Might",9,1
299,"Minds Eye",9,1
300,"Supersweet Syrup",9,1
301,Hospitality,9,1
302,"Toxic Chain",9,1
303,"Embody Aspect",9,1
304,"Tera Shift",9,1
305,"Tera Shell",9,1
306,"Teraform Zero",9,1
307,"Poison Puppeteer",9,1
10001,Mountaineer,5,0
10002,"Wave Rider",5,0
10003,Skater,5,0
10004,Thrust,5,0
10005,Perception,5,0
10006,Parry,5,0
10007,Instinct,5,0
10008,Dodge,5,0
10009,"Jagged Edge",5,0
10010,Frostbite,5,0
10011,Tenacity,5,0
10012,Pride,5,0
10013,"Deep Sleep",5,0
10014,"Power Nap",5,0
10015,Spirit,5,0
10016,"Warm Blanket",5,0
10017,Gulp,5,0
10018,Herbivore,5,0
10019,Sandpit,5,0
10020,"Hot Blooded",5,0
10021,Medic,5,0
10022,"Life Force",5,0
10023,Lunchbox,5,0
10024,Nurse,5,0
10025,Melee,5,0
10026,Sponge,5,0
10027,Bodyguard,5,0
10028,Hero,5,0
10029,"Last Bastion",5,0
10030,Stealth,5,0
10031,Vanguard,5,0
10032,Nomad,5,0
10033,Sequence,5,0
10034,"Grass Cloak",5,0
10035,Celebrate,5,0
10036,Lullaby,5,0
10037,Calming,5,0
10038,Daze,5,0
10039,Frighten,5,0
10040,Interference,5,0
10041,"Mood Maker",5,0
10042,Confidence,5,0
10043,Fortune,5,0
10044,Bonanza,5,0
10045,Explode,5,0
10046,Omnipotent,5,0
10047,Share,5,0
10048,"Black Hole",5,0
10049,"Shadow Dash",5,0
10050,Sprint,5,0
10051,Disgust,5,0
10052,"High Rise",5,0
10053,Climber,5,0
10054,"Flame Boost",5,0
10055,"Aqua Boost",5,0
10056,"Run Up",5,0
10057,Conqueror,5,0
10058,Shackle,5,0
10059,Decoy,5,0
10060,Shield,5,0
